language;voc;page;line;Type;Der-Die-Das;Mot en ALL;pluriel;Mot FR
anglais;unit6;p60;10;mot;;old-fashioned;;démodé
anglais;unit6;p60;11;mot;;quiet;;tranquille
anglais;unit6;p60;12;mot;;safe;;sûr
anglais;unit6;p60;13;mot;;clean;;propre
anglais;unit6;p60;14;mot;;comfortable;;confortable
anglais;unit6;p60;15;mot;;crowded;;bondé
anglais;unit6;p60;16;mot;;dark;;sombre
anglais;unit6;p60;17;mot;;dirty;;sale
anglais;unit6;p60;18;mot;;dry;;sec
anglais;unit6;p60;19;mot;;empty;;vide
anglais;unit6;p60;20;mot;;light;;clair (une couleur claire)
anglais;unit6;p60;21;mot;;tidy;;rangé
anglais;unit6;p60;22;mot;;uncomfortable;;inconfortable
anglais;unit6;p60;23;mot;;untidy;;mal rangé, en désordre
anglais;unit6;p60;24;mot;;wet;;mouillé
anglais;unit6;p60;25;mot;;town;;ville
anglais;unit6;p60;26;mot;;bank;;banque
anglais;unit6;p60;27;mot;;building;;bâtiment
anglais;unit6;p60;28;mot;;bus station;;gare routière
anglais;unit6;p60;29;mot;;church;;église
anglais;unit6;p60;30;mot;;crossing;;passage piétons
anglais;unit6;p60;31;mot;;market;;marché
anglais;unit6;p60;32;mot;;newsagent’s;;marchand de journaux
anglais;unit6;p60;33;mot;;post office;;poste
anglais;unit6;p60;34;mot;;road;;route
anglais;unit6;p60;35;mot;;roundabout;;rond-point
anglais;unit6;p60;36;mot;;secondary school;;école secondaire
anglais;unit6;p60;37;mot;;shoe shop;;magasin de chaussures
anglais;unit6;p60;38;mot;;square;;place
anglais;unit6;p60;39;mot;;street;;rue
anglais;unit6;p60;40;mot;;town centre;;centre-ville
anglais;unit6;p60;41;mot;;traffic lights;;feux de circulation
anglais;unit6;p61;1;mot;;behind;;derrière
anglais;unit6;p61;2;mot;;between;;entre
anglais;unit6;p61;3;mot;;in front of;;devant
anglais;unit6;p61;4;mot;;next to;;à côté de
anglais;unit6;p61;5;mot;;on the corner of;;au coin de
anglais;unit6;p61;6;mot;;opposite;;en face de
anglais;unit6;p61;7;phrase;;two years ago;;il y a deux ans
anglais;unit6;p61;8;mot;;ago;;il y a (deux ans)
anglais;unit6;p61;9;mot;;fall;;tomber (verbe)
anglais;unit6;p61;10;mot;;get lost;;se perdre
anglais;unit6;p61;11;mot;;hit;;cogner, heurter
anglais;unit6;p61;12;phrase;;in the 1960s;;dans les années soixante
anglais;unit6;p61;13;mot;;in the;;dans les (années soixante)
anglais;unit6;p61;14;mot;;keep in touch;;rester en contact
anglais;unit6;p61;15;phrase;;move to Australia;;déménager / aller vivre en Australie
anglais;unit6;p61;16;mot;;move;;(verbe) déménager / aller vivre (en Australie)
anglais;unit6;p61;17;mot;;popular;;populaire
anglais;unit6;p61;18;mot;;rubbish;;(n) ordures
anglais;unit6;p61;19;mot;;turn round;;se retourner
anglais;unit6;p61;20;mot;;bad;;mal
anglais;unit6;p61;21;mot;;worse;;pire (plus mal)
anglais;unit6;p61;22;mot;;far;;loin
anglais;unit6;p61;23;mot;;further;;plus loin
anglais;unit6;p61;24;mot;;good;;bien
anglais;unit6;p61;25;mot;;better;;mieux (plus mieux)
anglais;unit6;p61;26;mot;;cross;;traverser
anglais;unit6;p61;27;phrase;;cross the street;;traverser la rue
anglais;unit6;p61;28;mot;;go down;;prendre
anglais;unit6;p61;29;phrase;;go down the street;;prendre la rue
anglais;unit6;p61;30;mot;;go straight on;;aller tout droit
anglais;unit6;p61;31;mot;;turn;;tourner
anglais;unit6;p61;32;mot;;turn left;;tourner à gauche
anglais;unit6;p61;33;mot;;turn right;;tourner à droite
anglais;unit6;p61;34;mot;;walk past;;passer devant
anglais;unit6;p61;35;phrase;;walk past the church;;passer devant l’église
anglais;unit6;p61;36;phrase;;Excuse me, where’s the post office, please?;;Pardon, madame/monsieur, où se trouve la poste s’il vous plaît ?
anglais;unit6;p61;37;phrase;;It’s over there.;;Il/elle est là-bas.
allemand;voc2;p11;2;mot;die;Stadt;ä-e;la ville
allemand;voc2;p11;3;mot;die;Strasse;-n;la rue
allemand;voc2;p11;4;mot;das;Auto;-s;la voiture
allemand;voc2;p11;5;mot;die;U-Bahn;-en;le métro
allemand;voc2;p11;6;mot;der;Bus;-se;le bus
allemand;voc2;p11;7;mot;das;Haus;ä-er;la maison
allemand;voc2;p11;8;mot;das;Kino;-s;le cinéma
allemand;voc2;p11;9;mot;;gehen;;aller à pied
allemand;voc2;p11;10;verbe;;er geht;;il va à pied
allemand;voc2;p11;11;mot;;fahren;;aller (en voiture)
allemand;voc2;p11;12;verbe;;er fährt;;il va (en voiture)
allemand;voc2;p11;13;mot;;mit dem Fahrrad;;aller à bicyclette
allemand;voc2;p11;14;mot;;mit dem Auto;;aller en voiture
allemand;voc2;p11;15;mot;;mit der U-Bahn;;aller en métro
allemand;voc2;p11;16;phrase;;Entschuldigung, wo ist das Kino?;;Excusez-moi, où est le cinéma
allemand;voc2;p11;17;mot;das;Zentrum;;le centre
allemand;voc2;p11;18;mot;;im Zentrum;;au centre (centre-ville) (1)
allemand;voc2;p11;18;mot;;im Stadtzentrum;;au centre-ville (2)
allemand;voc2;p11;19;mot;das;Hotel;-s;l’hôtel
allemand;voc2;p11;20;mot;der;Sportplatz;ä-e;le terrain de sport
allemand;voc2;p11;21;phrase;;Jakob s’entraîne sur le terrain de sport.;;Jakob trainiert auf dem Sportplatz
allemand;voc2;p11;22;mot;der;Bahnhof;ö-e;la gare
allemand;voc2;p11;23;phrase;;Am Bahnhof kaufe ich Fahrkarten.;;J’achète des billets à la gare.
allemand;voc2;p11;24;mot;die;Fahrkarte;-n;le billet, le titre de transport
allemand;voc2;p11;25;mot;;warten;;attendre
allemand;voc2;p11;26;verbe;;er wartet;;il attend
allemand;voc2;p11;27;phrase;;Klara wartet auf den Bus.;;Klara attend le bus.
allemand;voc2;p11;28;mot;die;Bank;ä e;le banc
allemand;voc2;p11;29;phrase;;Klara wartet auf der Bank.;;Klara attend sur le banc.
allemand;voc2;p11;30;mot;der;Weg;-e;le chemin
allemand;voc2;p11;31;mot;;rechts;;droite
allemand;voc2;p11;32;mot;;links;;à gauche
allemand;voc2;p11;33;mot;;nach rechts;;à droite
allemand;voc2;p11;34;mot;;nach links;;à gauche
allemand;voc2;p12;1;mot;;geradeaus;;tout droit
allemand;voc2;p12;2;phrase;;Geh rechts und dann geradeaus.;;Va à droite et ensuite tout droit.
allemand;voc2;p12;3;mot;;an;;à
